PassengerId,Survived_pred,Survived_prob
892,0,0.12468103697221061
893,1,0.5995171295420674
894,0,0.18103041819783905
895,0,0.12418044517121106
896,1,0.5003906691378336
897,0,0.12418044517121106
898,1,0.7317590126423528
899,0,0.1481650609727514
900,1,0.7370773795385157
901,0,0.09593781010541956
902,0,0.12418044517121106
903,0,0.24053521750311124
904,1,0.9259527716991562
905,0,0.20860891654287175
906,1,0.9170596212864047
907,1,0.9289743271764005
908,0,0.16715879693985272
909,0,0.15893355780439195
910,0,0.4631219149599095
911,1,0.6194521367866236
912,0,0.364122080196117
913,0,0.36986353433481056
914,1,0.9144820617546603
915,0,0.42217515771582464
916,1,0.9460573762924028
917,0,0.07785491523131557
918,1,0.9565225418166612
919,0,0.15893355780439195
920,0,0.2888838414061708
921,0,0.17563445911273323
922,0,0.1461399103741234
923,0,0.1369258763101245
924,1,0.5523721557662513
925,0,0.4414764176274568
926,0,0.3842116790169014
927,0,0.15893355780439195
928,0,0.4906526818832019
929,0,0.46081623218717244
930,0,0.12418044517121106
931,0,0.2828754274639153
932,0,0.12957676553027225
933,0,0.2769442691168814
934,0,0.09464957546910664
935,1,0.8727478678587198
936,1,0.9544379875670135
937,0,0.12418044517121106
938,0,0.26131678644576267
939,0,0.14180697911221182
940,1,0.950981844268026
941,1,0.6267472955692185
942,0,0.32927244597373784
943,0,0.1341789357142374
944,1,0.8635791750254216
945,1,0.7567643961806572
946,0,0.23979604905868274
947,0,0.10310204522534998
948,0,0.12727576874445695
949,0,0.12418044517121106
950,0,0.14173672949878532
951,1,0.9569461523055123
952,0,0.12418044517121106
953,0,0.16196130301151032
954,0,0.12418044517121106
955,1,0.7522266008119817
956,0,0.4222772592208086
957,1,0.8972823611547946
958,1,0.5640274977301172
959,0,0.1867524020631387
960,0,0.3515629966248596
961,1,0.7092601384546681
962,1,0.5931945407154873
963,0,0.12418044517121106
964,0,0.4906526818832019
965,0,0.3379529233230771
966,1,0.9569461523055123
967,0,0.4083901294914948
968,0,0.12418044517121106
969,1,0.8774963637930392
970,0,0.13232120905669012
971,1,0.5931945407154873
972,1,0.8560680666613384
973,0,0.21649572891482388
974,0,0.27372454578122823
975,0,0.12418044517121106
976,0,0.16810113309916278
977,0,0.12268141260941616
978,1,0.5931945407154873
979,0,0.46081623218717244
980,1,0.5931945407154873
981,1,0.7405481564657743
982,0,0.468337603480923
983,0,0.12418044517121106
984,1,0.8860219274789035
985,0,0.12418044517121106
986,0,0.3379529233230771
987,0,0.12418044517121106
988,1,0.8877956740241791
989,0,0.12418044517121106
990,0,0.46081623218717244
991,0,0.12727576874445695
992,1,0.9741283793817432
993,0,0.1481650609727514
994,0,0.14180697911221182
995,0,0.12418044517121106
996,1,0.5613384444254113
997,0,0.15570319480547332
998,0,0.14180697911221182
999,0,0.14180697911221182
1000,0,0.12418044517121106
1001,0,0.13232120905669012
1002,0,0.12107670305567153
1003,1,0.5931945407154873
1004,1,0.9470718873727914
1005,1,0.729257656838392
1006,1,0.9260110551600704
1007,0,0.12268141260941616
1008,0,0.10380559907030991
1009,1,0.8190336401910334
1010,0,0.42052852116261236
1011,1,0.8866529877666692
1012,1,0.9042498997456155
1013,0,0.13572457975558092
1014,1,0.9569098303417143
1015,0,0.12418044517121106
1016,0,0.14180697911221182
1017,1,0.5264290324103806
1018,0,0.12418044517121106
1019,1,0.6217922987936753
1020,0,0.1392263770739102
1021,0,0.12418044517121106
1022,0,0.1523171134496154
1023,0,0.2962550276205412
1024,0,0.14679507401819178
1025,0,0.09916481583606529
1026,0,0.09464957546910664
1027,0,0.12418044517121106
1028,0,0.15893355780439195
1029,0,0.13232120905669012
1030,0,0.4906526818832019
1031,0,0.027078884554606594
1032,0,0.0933908399296218
1033,1,0.9439256661794425
1034,0,0.35262107359056316
1035,0,0.16264492273217962
1036,0,0.2888838414061708
1037,0,0.26705923891451877
1038,0,0.21735036442211617
1039,0,0.12418044517121106
1040,0,0.2769442691168814
1041,0,0.1481650609727514
1042,1,0.9565225418166612
1043,0,0.15893355780439195
1044,0,0.08615850460027055
1045,1,0.5515952913185492
1046,0,0.03477883063683919
1047,0,0.12418044517121106
1048,1,0.9299868157805814
1049,0,0.4906526818832019
1050,0,0.2888838414061708
1051,0,0.49589204022440597
1052,1,0.7522266008119817
1053,1,0.5991380276537923
1054,1,0.8727478678587198
1055,0,0.19685079281360846
1056,0,0.1392263770739102
1057,1,0.5287410734114306
1058,0,0.23384968281182456
1059,0,0.09593781010541956
1060,1,0.9496541530198677
1061,0,0.4906526818832019
1062,0,0.12418044517121106
1063,0,0.15893355780439195
1064,0,0.1147768424176893
1065,0,0.15893355780439195
1066,0,0.03314874690457915
1067,1,0.8857173637852495
1068,1,0.8857173637852495
1069,1,0.5203588622248603
1070,1,0.9171522667384904
1071,1,0.9210524623642309
1072,0,0.13232120905669012
1073,0,0.3816568983599908
1074,1,0.9545858793010165
1075,0,0.14180697911221182
1076,1,0.9319506332767834
1077,0,0.20065926400325018
1078,1,0.8857173637852495
1079,0,0.10378987767005506
1080,0,0.14770846451703015
1081,0,0.1392263770739102
1082,0,0.17091005282068777
1083,0,0.2769442691168814
1084,0,0.23030127588278282
1085,0,0.1428386613248897
1086,1,0.5453847172377307
1087,0,0.12727576874445695
1088,1,0.9538958579597541
1089,0,0.46081623218717244
1090,0,0.1477690142457049
1091,0,0.4906526818832019
1092,1,0.6979805940868785
1093,1,0.8828533286227437
1094,0,0.314001402534199
1095,1,0.943239362130535
1096,0,0.1477690142457049
